H0|H0'|E|1|1_p1|1_p2|partial1|
324:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
325:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
326:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
327:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
328:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
329:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
330:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
331:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
332:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
333:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
334:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
335:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
336:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
337:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
338:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
339:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
340:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
341:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
342:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
343:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
344:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
345:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
346:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
347:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
348:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
349:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
350:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
351:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
352:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
353:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
354:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
355:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
356:+0.588|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
357:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
358:+0.606|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
359:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
360:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
361:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
362:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
363:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
